Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP
1,17,1,9853,1,1,128.0,1,38,38,9,7,128.4,1,0,0,1,0,1,20,0,0,6,10,5,13.2,0,0,6,12,5,12.83333333,0,9.4,-0.8,-3.12
4,39,1,8014,0,1,133.1,1,37,37,9,7,140.0,0,0,0,1,0,1,43,0,0,6,6,0,0.0,0,0,5,5,0,0.0,0,8.9,1.4,3.51
1,17,2,9500,1,1,135.0,1,19,1,5,4,127.3,1,0,0,1,0,0,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06
1,39,1,9991,0,1,120.0,1,38,38,5,7,146.2,0,0,0,1,0,0,27,0,0,5,10,3,12.33333333,0,0,5,10,3,10.66666667,0,11.1,0.6,2.02
2,43,1,9003,1,1,133.1,1,37,37,9,7,136.0,0,0,0,1,1,0,41,0,18,19,19,19,12.68421053,0,12,13,13,13,12.38461538,0,15.5,2.8,-4.06
1,39,1,9500,1,1,123.0,1,19,1,1,1,140.8,0,0,0,1,0,0,25,0,0,8,8,7,12.08428571,0,0,8,8,7,12.08428571,0,10.8,1.4,1.74
1,17,4,9119,1,1,127.0,1,19,19,5,5,120.4,1,0,1,0,1,0,18,0,0,5,12,0,0.0,0,0,5,8,0,0.0,0,9.4,-0.8,-3.12
1,1,1,9670,1,1,141.0,1,1,1,5,9,126.3,0,0,0,1,1,1,18,0,0,6,8,6,12.16666667,0,0,6,7,5,13.0,0,13.9,-0.3,0.79
1,1,1,9238,1,1,133.0,1,37,37,9,9,121.8,1,0,0,1,0,1,18,0,0,6,7,5,10.2,0,0,6,9,4,11.25,0,12.4,0.5,1.79
2,39,1,9254,1,1,130.0,1,37,37,4,7,120.0,1,0,0,1,0,0,34,0,0,6,7,5,12.4,0,0,6,8,5,12.8,0,9.4,-0.8,-3.12
1,39,1,9500,1,1,137.0,1,37,37,9,9,141.0,0,0,0,1,1,0,36,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,12.4,0.5,1.79
4,39,1,9991,0,1,140.0,1,1,37,141,192,129.7,0,0,0,1,0,0,35,0,0,5,8,5,12.0,0,0,5,9,5,12.85714286,0,13.9,-0.3,0.79
1,1,3,9773,1,1,123.0,1,1,1,4,7,125.1,1,0,1,1,1,1,18,0,0,6,6,6,14.33333333,0,0,6,6,6,15.33333333,0,11.1,0.6,2.02
1,39,1,9003,1,19,133.1,1,37,37,9,9,130.0,0,0,0,1,0,0,44,0,0,6,10,1,12.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02
1,51,1,9773,1,1,158.0,1,1,19,8,8,117.1,1,0,0,1,1,0,20,0,1,7,7,6,13.83333333,0,1,6,7,5,13.0,0,8.9,1.4,3.51
1,1,2,9773,1,1,130.0,109,19,1,9,9,126.9,1,0,0,1,0,1,19,1,0,6,8,6,13.16666667,0,0,6,6,6,13.0,0,11.1,0.6,2.02
1,1,1,9500,1,1,140.0,1,38,37,9,7,130.0,1,0,0,1,1,1,18,0,0,7,7,6,13.18333333,0,0,7,7,6,13.18333333,0,7.6,2.6,0.32
1,1,1,9085,1,1,148.0,1,38,38,4,9,131.6,0,0,0,1,1,1,18,0,0,6,8,6,15.5,0,0,6,9,4,15.5,0,11.1,0.6,2.02
1,1,1,9085,1,1,138.0,1,38,37,9,6,126.8,1,0,0,1,1,0,18,0,0,5,6,4,11.75,0,0,5,10,5,12.57142857,1,10.8,1.4,1.74
1,1,4,9147,1,1,123.0,1,1,1,9,7,117.4,1,0,0,1,0,1,18,0,0,5,7,5,12.0,0,0,5,10,5,11.4,0,8.9,1.4,3.51
